"Timestamp","Course Code","Course Name","Marks in Theory Internal 1 (out of 10)","Marks in Theory Internal 2 (out of 10)","Marks in Theory Internal 3 (out of 10)","Marks in Continuous Assessment 1 (out of 50)","Marks in Continuous Assessment 2 (out of 50)","Marks in Theory Final Assessment (out of 100)","Marks in Lab Internal 1 (out of 10)","Marks in Lab Internal 2 (out of 10)","Marks in Lab Internal 3 (out of 10)","Marks in Lab Internal 4 (out of 10)","Marks in Lab Internal 5 (out of 10)","Marks in Lab Internal 6 (out of 10)","Marks in Lab Final Assessment (out of 50)","Marks in Project (out of 100)","Grade"
"2020/11/22 9:53:46 pm GMT+5:30","ITE1002","Web developement","9","7","9","42","27","72","10","10","9","10","9","10","32","90","A"
"2020/11/22 11:51:13 pm GMT+5:30","HUM1039","Community development in India","9","9","7","37","43","85","","","","","","","","90","S"
"2020/11/23 7:54:28 pm GMT+5:30","CHY1701","Engineering Chemistry","8","9","8","38","41","68","6","6","6","6","6","6","49","","A"
"2020/11/23 7:56:14 pm GMT+5:30","CSE1001","Problem Solving and Programming","","","","","","","10","10","9","9","9","0","27.5","","C"
"2020/11/23 7:58:33 pm GMT+5:30","ENG1002","Effective English","","","","","","","7.5","10","7","8.67","8.67","","46","","A"
"2020/11/23 8:00:43 pm GMT+5:30","HUM1021","Ethics and Values","10","9","8","33","25","65","","","","","","","","","D"
"2020/11/23 8:02:16 pm GMT+5:30","MAT1011","Calculus for Engineers","6","6","3","44","41","78","5","5","3","8","8","5","28","","B"
"2020/11/23 8:03:25 pm GMT+5:30","MEE1001","Engineering Drawing","","","","","","84","","","","","","","42","","A"
"2020/11/23 8:04:20 pm GMT+5:30","MEE1002","Engineering Mechanics","10","10","8","45","21","83","","","","","","","","","S"
"2020/11/23 8:07:35 pm GMT+5:30","CHY1002","Environmental Sciences","8","8.5","6","34.5","32.5","53","","","","","","","","","B"
"2020/11/23 8:09:59 pm GMT+5:30","CLE1003","Surveying","9","9","6","40.5","41","70","8","6.5","9","9","8.5","9","41","85","A"
"2020/11/23 8:11:41 pm GMT+5:30","EEE1001","Basic Electrical and Electronics Engineering","9","10","9","48","36","83","9.5","9.5","10","9","8.5","9","50","","A"
"2020/11/23 8:12:31 pm GMT+5:30","MEE1003","Engineering Thermodynamics","9","9","9","39","21","55","","","","","","","","","A"
"2020/11/23 8:15:29 pm GMT+5:30","MEE1005","Materials Engineering and Technology","8","8.5","10","30","29","58","10","10","10","10","10","5","45","","A"
"2020/11/23 8:19:06 pm GMT+5:30","MEE2004","Mechanics of Machines","10","10","5","20","19","62","9","9.5","9","9","10","8","48","","B"
"2020/11/23 8:21:50 pm GMT+5:30","BIT1003","Biology for Engineers","8","7.5","10","29","25","54","10","8","9.5","9.5","9","9","43","","B"
"2020/11/23 8:24:41 pm GMT+5:30","MEE1004","Fluid Mechanics","10","4","0","28","25","76","8","8.5","7.5","7","10","9","35","","B"
"2020/11/23 8:25:34 pm GMT+5:30","MEE2001","Machine Drawing","","","","","","88","","","","","","","44","","A"
"2020/11/23 8:26:43 pm GMT+5:30","MEE2002","Strength of Materials","9","9.5","8","44","46","67","","9","9","9","9.5","9.5","47","","S"
"2020/11/23 8:28:32 pm GMT+5:30","MEE2005","Heat Transfer","8","6","6","28","41","81","10","10","10","10","10","7","45","","A"
